"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"PK - 06","Elementary","Unknown","06","PK","ADAIR-CASEY COMM SCHOOL DISTRICT","ADAIR-CASEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","172",
"07 - 12","Mixed","No","12","07","ADAIR-CASEY COMM SCHOOL DISTRICT","ADAIR-CASEY JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","128","HN"
"PK - 02","Elementary","Unknown","02","PK","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","ADEL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","459",
"06 - 08","Middle","Unknown","08","06","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","ADM MIDDLE SCHOOL","public","2017","0","0","1","IA","350",
"09 - 12","High","Yes","12","09","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","ADM SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","483","Yes"
"03 - 05","Elementary","No","05","03","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","DESOTO INTERMEDIATE SCHOOL","public","2017","1","0","0","IA","365","No"
"PK - 02","Elementary","Unknown","02","PK","AGWSR COMM SCHOOL DISTRICT","AGWSR ELEMENTARY AT WELLSBURG","public","2017","1","0","0","IA","76",
"KG - 05","Elementary","Unknown","05","KG","AGWSR COMM SCHOOL DISTRICT","AGWSR ELEMENTARY SCHOOL","public","2017","1","0","0","IA","200",
"09 - 12","High","No","12","09","AGWSR COMM SCHOOL DISTRICT","AGWSR HIGH SCHOOL","public","2017","0","1","0","IA","168","HN"
"06 - 08","Middle","Unknown","08","06","AGWSR COMM SCHOOL DISTRICT","AGWSR MIDDLE SCHOOL","public","2017","0","0","1","IA","103",
"PK - KG","Elementary","Unknown","KG","PK","AGWSR COMM SCHOOL DISTRICT","THE COUGARS DEN","public","2017","1","0","0","IA","61",
"PK - 06","Elementary","Unknown","06","PK","A-H-S-T COMM SCHOOL DISTRICT","A-H-S-T ELEMENTARY SCHOOL","public","2017","1","0","0","IA","316",
"07 - 12","Mixed","No","12","07","A-H-S-T COMM SCHOOL DISTRICT","A-H-S-T HIGH SCHOOL","public","2017","0","1","1","IA","324","No"
"PK - 05","Elementary","Unknown","05","PK","AKRON WESTFIELD COMM SCHOOL DISTRICT","AKRON WESTFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","283",
"06 - 08","Middle","Unknown","08","06","AKRON WESTFIELD COMM SCHOOL DISTRICT","AKRON WESTFIELD MIDDLE SCHOOL","public","2017","0","0","1","IA","111",
"09 - 12","High","Yes","12","09","AKRON WESTFIELD COMM SCHOOL DISTRICT","AKRON WESTFIELD SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","159","HY"
"PK - 06","Elementary","No","06","PK","ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT","ALBERT CITY-TRUESDALE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","107","No"
"09 - 12","High","Yes","12","09","ALBIA COMM SCHOOL DISTRICT","ALBIA HIGH SCHOOL","public","2017","0","1","0","IA","358","HY"
"07 - 08","Middle","Yes","08","07","ALBIA COMM SCHOOL DISTRICT","ALBIA MIDDLE SCHOOL","public","2017","0","0","1","IA","165","Yes"
"KG - 02","Elementary","Unknown","02","KG","ALBIA COMM SCHOOL DISTRICT","GRANT CENTER","public","2017","1","0","0","IA","291",
"PK - PK","PK","Unknown","PK","PK","ALBIA COMM SCHOOL DISTRICT","KENDALL CENTER","public","2017","1","0","0","IA","52",
"03 - 06","Mixed","Yes","06","03","ALBIA COMM SCHOOL DISTRICT","LINCOLN CENTER","public","2017","1","0","1","IA","353","Yes"
"PK - 05","Elementary","Unknown","05","PK","ALBURNETT COMM SCHOOL DISTRICT","ALBURNETT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","304",
"06 - 08","Middle","Unknown","08","06","ALBURNETT COMM SCHOOL DISTRICT","ALBURNETT MIDDLE SCHOOL","public","2017","0","0","1","IA","142",
"09 - 12","High","Yes","12","09","ALBURNETT COMM SCHOOL DISTRICT","ALBURNETT SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","207","HY"
"PK - 06","Elementary","Inconsistent","06","PK","ALDEN COMM SCHOOL DISTRICT","ALDEN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","267","Inconsistent"
"09 - 12","High","No","12","09","ALGONA COMM SCHOOL DISTRICT","ALGONA HIGH SCHOOL","public","2017","0","1","0","IA","413","HN"
"05 - 08","Mixed","Unknown","08","05","ALGONA COMM SCHOOL DISTRICT","ALGONA MIDDLE SCHOOL","public","2017","1","0","1","IA","395",
"PK - KG","Elementary","Unknown","KG","PK","ALGONA COMM SCHOOL DISTRICT","BERTHA GODFREY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","220",
"01 - 02","Elementary","Unknown","02","01","ALGONA COMM SCHOOL DISTRICT","BRYANT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","207",
"03 - 04","Elementary","Unknown","04","03","ALGONA COMM SCHOOL DISTRICT","LUCIA WALLACE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","206",
"07 - 08","Middle","Unknown","08","07","ALLAMAKEE COMM SCHOOL DISTRICT","ALLAMAKEE JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","165",
"03 - 06","Mixed","Unknown","06","03","ALLAMAKEE COMM SCHOOL DISTRICT","EAST CAMPUS ELEMENTARY SCHOOL","public","2017","1","0","1","IA","276",
"PK - 06","Elementary","Unknown","06","PK","ALLAMAKEE COMM SCHOOL DISTRICT","WATERVILLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","94",
"09 - 12","High","Yes","12","09","ALLAMAKEE COMM SCHOOL DISTRICT","WAUKON HIGH SCHOOL","public","2017","0","1","0","IA","382","Yes"
"PK - 02","Elementary","Unknown","02","PK","ALLAMAKEE COMM SCHOOL DISTRICT","WEST CAMPUS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","223",
"PK - 05","Elementary","Unknown","05","PK","ALTA COMM SCHOOL DISTRICT","ALTA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","336",
"09 - 12","High","No","12","09","ALTA COMM SCHOOL DISTRICT","ALTA-AURELIA HIGH SCHOOL SCHOOL","public","2017","0","1","0","IA","220","HN"
"09 - 12","High","Yes","12","09","AMES COMM SCHOOL DISTRICT","AMES HIGH SCHOOL","public","2017","0","1","0","IA","1271","Yes"
"06 - 08","Middle","Unknown","08","06","AMES COMM SCHOOL DISTRICT","AMES MIDDLE SCHOOL","public","2017","0","0","1","IA","944",
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","EDWARDS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","384",
"KG - 05","Elementary","No","05","KG","AMES COMM SCHOOL DISTRICT","FELLOWS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","463","No"
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","MEEKER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","444",
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","MITCHELL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","286",
"PK - KG","Elementary","Unknown","KG","PK","AMES COMM SCHOOL DISTRICT","NORTHWOOD PRE-SCHOOL","public","2017","1","0","0","IA","292",
"KG - 05","Elementary","Unknown","05","KG","AMES COMM SCHOOL DISTRICT","SAWYER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","349",
"09 - 12","High","Yes","12","09","ANAMOSA COMM SCHOOL DISTRICT","ANAMOSA HIGH SCHOOL","public","2017","0","1","0","IA","382","HY"
"05 - 08","Mixed","No","08","05","ANAMOSA COMM SCHOOL DISTRICT","ANAMOSA MIDDLE SCHOOL","public","2017","1","0","1","IA","386","No"
"PK - 04","Elementary","Unknown","04","PK","ANAMOSA COMM SCHOOL DISTRICT","STRAWBERRY HILL","public","2017","1","0","0","IA","514",
